date,doc_id,doc_type,word,count,is_group,primary_word,baseline
2008-10-29,policy_statement_20081029,policy_statement,complete toolkit,0,False,full range of tools,0.0
2008-10-29,policy_statement_20081029,policy_statement,considerable time,0,False,considerable time,0.0
2008-10-29,policy_statement_20081029,policy_statement,considerable time_GROUP,0,True,considerable time,0.0
2008-10-29,policy_statement_20081029,policy_statement,deliberate,0,False,patient,0.0
2008-10-29,policy_statement_20081029,policy_statement,easy,0,False,accommodative,0.0
2008-10-29,policy_statement_20081029,policy_statement,entire toolkit,0,False,full range of tools,0.0
2008-10-29,policy_statement_20081029,policy_statement,extended period,0,False,considerable time,0.0
2008-10-29,policy_statement_20081029,policy_statement,full range of tools,0,False,full range of tools,0.0
2008-10-29,policy_statement_20081029,policy_statement,full range of tools_GROUP,0,True,full range of tools,0.0
2008-10-29,policy_statement_20081029,policy_statement,gradual,0,False,patient,0.0
2008-10-29,policy_statement_20081029,policy_statement,measured,0,False,patient,0.0
2008-10-29,policy_statement_20081029,policy_statement,patient,0,False,patient,0.0
2008-10-29,policy_statement_20081029,policy_statement,patient_GROUP,0,True,patient,0.0
2008-10-29,policy_statement_20081029,policy_statement,short-lived,0,False,transitory,0.0
2008-10-29,policy_statement_20081029,policy_statement,significant time,0,False,considerable time,0.0
2008-10-29,policy_statement_20081029,policy_statement,substantial period,0,False,considerable time,0.0
2008-10-29,policy_statement_20081029,policy_statement,supportive,0,False,accommodative,0.0
2008-10-29,policy_statement_20081029,policy_statement,temporary,0,False,transitory,0.0
2008-10-29,policy_statement_20081029,policy_statement,transient,0,False,transitory,0.0
2008-10-29,policy_statement_20081029,policy_statement,transitory,0,False,transitory,0.0
2008-10-29,policy_statement_20081029,policy_statement,transitory_GROUP,0,True,transitory,0.0
2008-12-16,policy_statement_20081216,policy_statement,accommodating,0,False,accommodative,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,accommodating,0,False,accommodative,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,accommodating,0,False,accommodative,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,accommodating,0,False,accommodative,0.0
2008-12-16,policy_statement_20081216,policy_statement,accommodative,0,False,accommodative,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,accommodative,0,False,accommodative,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,accommodative,0,False,accommodative,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,accommodative,0,False,accommodative,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,accommodative_GROUP,0,True,accommodative,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,accommodative_GROUP,0,True,accommodative,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,accommodative_GROUP,0,True,accommodative,0.0
2008-12-16,policy_statement_20081216,policy_statement,accommodative_GROUP,0,True,accommodative,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,all available tools,0,False,full range of tools,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,all available tools,2,False,full range of tools,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,all available tools,2,False,full range of tools,0.0
2008-12-16,policy_statement_20081216,policy_statement,all available tools,0,False,full range of tools,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,complete toolkit,0,False,full range of tools,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,complete toolkit,0,False,full range of tools,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,complete toolkit,0,False,full range of tools,0.0
2008-12-16,policy_statement_20081216,policy_statement,complete toolkit,0,False,full range of tools,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,considerable time,0,False,considerable time,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,considerable time,0,False,considerable time,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,considerable time,0,False,considerable time,0.0
2008-12-16,policy_statement_20081216,policy_statement,considerable time,0,False,considerable time,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,considerable time_GROUP,0,True,considerable time,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,considerable time_GROUP,1,True,considerable time,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,considerable time_GROUP,1,True,considerable time,0.0
2008-12-16,policy_statement_20081216,policy_statement,considerable time_GROUP,0,True,considerable time,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,deliberate,0,False,patient,0.0
2008-12-16,policy_statement_20081216,policy_statement,deliberate,0,False,patient,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,deliberate,0,False,patient,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,deliberate,0,False,patient,0.0
2008-12-16,policy_statement_20081216,policy_statement,easy,0,False,accommodative,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,easy,0,False,accommodative,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,easy,0,False,accommodative,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,easy,0,False,accommodative,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,entire toolkit,0,False,full range of tools,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,entire toolkit,0,False,full range of tools,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,entire toolkit,0,False,full range of tools,0.0
2008-12-16,policy_statement_20081216,policy_statement,entire toolkit,0,False,full range of tools,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,extended period,0,False,considerable time,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,extended period,1,False,considerable time,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,extended period,1,False,considerable time,0.0
2008-12-16,policy_statement_20081216,policy_statement,extended period,0,False,considerable time,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,full range of tools,0,False,full range of tools,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,full range of tools,0,False,full range of tools,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,full range of tools,0,False,full range of tools,0.0
2008-12-16,policy_statement_20081216,policy_statement,full range of tools,0,False,full range of tools,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,full range of tools_GROUP,0,True,full range of tools,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,full range of tools_GROUP,2,True,full range of tools,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,full range of tools_GROUP,2,True,full range of tools,0.0
2008-12-16,policy_statement_20081216,policy_statement,full range of tools_GROUP,0,True,full range of tools,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,gradual,0,False,patient,0.0
2008-12-16,policy_statement_20081216,policy_statement,gradual,0,False,patient,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,gradual,0,False,patient,0.0
2008-12-16,fomc_minutes_20081216,fomc_minutes,gradual,0,False,patient,0.0
2008-12-16,policy_statement_20081216.html,policy_statement,measured,0,False,patient,0.0
2008-12-16,policy_statement_20081216,policy_statement,measured,0,False,patient,0.0
2008-12-16,fomc_minutes_20081216.html,fomc_minutes,measured,1,False,patient,0.0
